model,dtype,brand,brand_title,code,code_alias,model_name,ver_name,source_file
1503-M02,mob,360,360,,,手机 N4,移动版,360shouji
1503-A01,mob,360,360,,,手机 N4,全网通版,360shouji
1505-A01,mob,360,360,,,手机 N4s,,360shouji
1505-A02,mob,360,360,,,手机 N4s 骁龙版,,360shouji
1603-A03,mob,360,360,,,手机 N4A,,360shouji
1605-A01,mob,360,360,,,手机 N5,全网通版,360shouji
1605-A02,mob,360,360,,,手机 N5,移动版,360shouji
1607-A01,mob,360,360,,,手机 N5s,,360shouji
1801-A01,mob,360,360,,,手机 N6 Pro,,360shouji
1707-A01,mob,360,360,,,手机 N6,,360shouji
1713-A01,mob,360,360,,,手机 N6 Lite,,360shouji
1807-A01,mob,360,360,,,手机 N7,,360shouji
1809-A01,mob,360,360,,,手机 N7 Pro,,360shouji
1803-A01,mob,360,360,,,手机 N7 Lite,,360shouji
8676-A01,mob,360,360,,,大神 Note 3,全网通版,360shouji
8676-M01,mob,360,360,,,大神 Note 3,移动版,360shouji
1711-A01,mob,360,360,,,手机 vizza,,360shouji
1501-M02,mob,360,360,,,手机 F4,移动版,360shouji
1501-A02,mob,360,360,,,手机 F4,全网通版,360shouji
1603-A02,mob,360,360,,,手机 F4s,,360shouji
1701-M01,mob,360,360,,,手机 F5,,360shouji
1515-A01,mob,360,360,,,手机 Q5,,360shouji
1509-M02,mob,360,360,,,手机 Q5 Plus,移动版,360shouji
1509-A00,mob,360,360,,,手机 Q5 Plus,全网通版,360shouji
1703-M01,mob,360,360,,,手机 C5,,360shouji
8681-M01,mob,360,360,,,手机奇酷青春版,移动版,360shouji
8681-M02,mob,360,360,,,手机奇酷青春版,双网通版,360shouji
8681-A01,mob,360,360,,,手机奇酷青春版,全网通版,360shouji
8692-M02,mob,360,360,,,手机奇酷旗舰版,双网通版,360shouji
8692-A00,mob,360,360,,,手机奇酷旗舰版,全网通版,360shouji
8692-A00,mob,360,360,,,手机奇酷旗舰版,极客版,360shouji
QSN2112,mob,360,360,,,奇少年 Q10,,360shouji
QSN2201,mob,360,360,,,奇少年 Q10 Pro,5G,360shouji
QSN2211,mob,360,360,,,奇少年 Q20,,360shouji
QSN2211,mob,360,360,,,奇少年 Q30,,360shouji
QSN2207,mob,360,360,,,奇少年 Q20 Pro,5G,360shouji
QK001,mob,360,360,,,OS M50,5G,360shouji
QK001,mob,360,360,,,OS T20 Pro,5G,360shouji
A1203,mob,apple,Apple,M68AP,"iPhone1,1",iPhone,,apple_all
A1241,mob,apple,Apple,N82AP,"iPhone1,2",iPhone 3G,,apple_all
A1324,mob,apple,Apple,N82AP,"iPhone1,2",iPhone 3G,中国大陆,apple_all
A1303,mob,apple,Apple,N88AP,"iPhone2,1",iPhone 3GS,,apple_all
A1325,mob,apple,Apple,N88AP,"iPhone2,1",iPhone 3GS,"中国大陆, 无 WLAN 功能",apple_all
A1332,mob,apple,Apple,N90AP,"iPhone3,1",iPhone 4,GSM,apple_all
A1332,mob,apple,Apple,N90BAP,"iPhone3,2",iPhone 4,"GSM, 2011",apple_all
A1349,mob,apple,Apple,N92AP,"iPhone3,3",iPhone 4,CDMA,apple_all
A1431,mob,apple,Apple,N94AP,"iPhone4,1",iPhone 4S,GSM,apple_all
A1387,mob,apple,Apple,N94AP,"iPhone4,1",iPhone 4S,CDMA,apple_all
A1428,mob,apple,Apple,N41AP,"iPhone5,1",iPhone 5,GSM,apple_all
A1429,mob,apple,Apple,N42AP,"iPhone5,2",iPhone 5,GSM,apple_all
A1442,mob,apple,Apple,N42AP,"iPhone5,2",iPhone 5,CDMA,apple_all
A1453,mob,apple,Apple,N51AP,"iPhone6,1",iPhone 5s,CDMA,apple_all
A1533,mob,apple,Apple,N51AP,"iPhone6,1",iPhone 5s,"CDMA, 中国电信",apple_all
A1457,mob,apple,Apple,N53AP,"iPhone6,2",iPhone 5s,GSM,apple_all
A1518,mob,apple,Apple,N53AP,"iPhone6,2",iPhone 5s,"LTE, 中国移动",apple_all
A1528,mob,apple,Apple,N53AP,"iPhone6,2",iPhone 5s,"GSM, 中国联通",apple_all
A1530,mob,apple,Apple,N53AP,"iPhone6,2",iPhone 5s,LTE,apple_all
A1456,mob,apple,Apple,N48AP,"iPhone5,3",iPhone 5c,CDMA,apple_all
A1532,mob,apple,Apple,N48AP,"iPhone5,3",iPhone 5c,"CDMA, 中国电信",apple_all
A1507,mob,apple,Apple,N49AP,"iPhone5,4",iPhone 5c,GSM,apple_all
A1516,mob,apple,Apple,N49AP,"iPhone5,4",iPhone 5c,"LTE, 中国移动",apple_all
A1526,mob,apple,Apple,N49AP,"iPhone5,4",iPhone 5c,"GSM, 中国联通",apple_all
A1529,mob,apple,Apple,N49AP,"iPhone5,4",iPhone 5c,LTE,apple_all
